,,Total Count,Wins,Losses,Winrate,As Radiant,As Dire,Kills,Deaths,Assists,GPM,XPM,Last Hits,Denies,Overall,In Wins,In Losses,Shift
PSG.LGD,PSG.LGD,110,79,31,71.82%,46,64,28.25,23.54,62.01,2211,2390,787,44,35:09:00,34:28:00,36:53:00,0
Fnatic,Fnatic,94,58,36,61.70%,56,38,26.09,21.78,60.65,2165,2339,963,42,40:51:00,40:46:00,40:58:00,-00:11
OpTic Gaming,OpTic Gaming,89,53,36,59.55%,38,51,23.71,24.6,53.6,2125,2232,798,37,36:19:00,33:40:00,40:12:00,#VALUE!
Newbee,Newbee,83,42,41,50.60%,40,43,24.1,24.08,58,2067,2254,869,41,37:56:00,39:47:00,36:02:00,3:44
TNC Predator,TNC Predator,79,49,30,62.03%,38,41,26.08,23.51,61.48,2159,2284,917,42,40:22:00,39:40:00,41:32:00,0
VGJ Thunder,VGJ Thunder,77,38,39,49.35%,28,49,23.44,24.36,54.61,2088,2270,807,31,35:55:00,35:36:00,36:14:00,-00:37
OG,OG,74,40,34,54.05%,36,38,25.3,25.47,56.43,2087,2249,752,46,35:24:00,33:51:00,37:12:00,0
Vici Gaming,Vici Gaming,72,40,32,55.56%,29,43,25.5,25.86,58.83,2112,2301,881,47,38:55:00,40:55:00,36:25:00,4:30
KEEN GAMING,KEEN GAMING,71,34,37,47.89%,39,32,26.42,25.56,58.65,1966,2164,666,47,34:52:00,33:20:00,36:17:00,0
VGJ Storm,VGJ Storm,70,50,20,71.43%,43,27,28.04,21.84,65.4,2240,2450,867,47,36:53:00,35:29:00,40:24:00,0
Team Liquid,Team Liquid,68,38,30,55.88%,44,24,27.54,28.32,60.19,2101,2218,707,47,35:13:00,33:34:00,37:19:00,0
Mineski,Mineski,66,38,28,57.58%,38,28,26.2,24.26,62.32,2176,2371,902,47,39:13:00,39:27:00,38:55:00,0:31
Natus Vincere,Natus Vincere,62,28,34,45.16%,33,29,23.06,25.08,51.89,2094,2223,979,48,40:50:00,37:34:00,43:32:00,0
Team Secret,Team Secret,62,37,25,59.68%,24,38,26.29,23.06,63.08,2145,2348,830,39,37:08:00,35:47:00,39:09:00,0
Winstrike,Winstrike,59,35,24,59.32%,22,37,30.83,28.17,70.85,2212,2425,859,47,38:11:00,37:09:00,39:41:00,0
paiN Gaming,paiN Gaming,58,27,31,46.55%,29,29,23.59,28.02,55.72,2088,2209,716,38,32:50:00,32:05:00,33:29:00,0
Virtus.pro,Virtus.pro,58,43,15,74.14%,38,20,30.53,21.86,67.95,2242,2413,827,53,37:11:00,35:36:00,41:43:00,#VALUE!
Infamous,Infamous,52,23,29,44.23%,31,21,23.85,27.52,50.58,2148,2297,863,39,36:23:00,35:28:00,37:07:00,0
Vega Squadron,Vega Squadron,51,25,26,49.02%,28,23,23.06,25.67,55.31,2046,2127,788,33,37:23:00,37:42:00,37:04:00,0:38
compLexity Gaming,compLexity Gaming,47,21,26,44.68%,22,25,23.72,24.11,54.47,2090,2225,819,41,37:20:00,34:12:00,39:51:00,0
Evil Geniuses,Evil Geniuses,47,29,18,61.70%,32,15,23.64,24.09,50.36,2191,2287,795,51,35:03:00,32:43:00,38:48:00,#VALUE!
SG e-sports team,SG e-sports team,46,29,17,63.04%,26,20,24.04,22.46,51.7,2169,2295,853,42,36:45:00,38:14:00,34:12:00,4:01
The Final Tribe,The Final Tribe,45,27,18,60.00%,8,37,27.82,22.02,62.56,2164,2352,980,41,40:16:00,41:40:00,38:09:00,3:31
INVICTUS GAMING,INVICTUS GAMING,44,23,21,52.27%,15,29,27.43,21.7,63.14,2129,2469,931,45,39:01:00,39:45:00,38:12:00,1:32
Mad Lads,Mad Lads,43,20,23,46.51%,23,20,24.86,26.95,56.14,2103,2215,894,38,40:51:00,42:48:00,39:09:00,3:39
Team Empire,Team Empire,42,13,29,30.95%,20,22,24.52,28.52,55.29,2057,2219,918,48,39:34:00,44:57:00,37:09:00,7:47
Team Kinguin,Team Kinguin,42,23,19,54.76%,25,17,24.45,28.69,56.12,2133,2278,929,39,39:33:00,36:36:00,43:07:00,0
EHOME,EHOME,40,16,24,40.00%,24,16,26.85,26.65,58.38,2107,2339,852,45,36:51:00,38:00:00,36:06:00,1:54
Team. Spirit,Team. Spirit,38,21,17,55.26%,12,26,24.42,23.53,55.58,2074,2231,823,39,37:24:00,37:30:00,37:17:00,0:13
LGD.Forever Young,LGD.Forever Young,36,15,21,41.67%,18,18,24.44,26.08,57.69,2010,2221,794,48,37:07:00,37:45:00,36:39:00,1:06
Eclipse,Eclipse,34,22,12,64.71%,16,18,25.71,22.03,57.88,2147,2322,775,47,35:05:00,35:51:00,33:41:00,2:09
KG.Luminous,KG.Luminous,30,26,4,86.67%,11,19,26.57,16.9,61.87,2256,2407,773,40,34:04:00,33:17:00,39:14:00,0
Rock.Young,Rock.Young,30,18,12,60.00%,15,15,27.6,20.03,59.87,2129,2321,763,48,34:08:00,34:43:00,33:16:00,1:26
Clutch Gamers,Clutch Gamers,30,13,17,43.33%,17,13,24.23,28.03,51.1,2098,2337,929,54,40:35:00,38:23:00,42:16:00,0
Immortals,Immortals,29,13,16,44.83%,16,13,22.66,26.93,51.03,1970,2160,810,34,38:15:00,42:37:00,34:42:00,7:54
GangSquad,GangSquad,29,12,17,41.38%,11,18,23.66,24.69,53.55,2014,2138,681,31,32:50:00,31:44:00,33:36:00,0
iG.Vitality,iG.Vitality,26,12,14,46.15%,16,10,24.23,27.27,55.35,2060,2236,849,38,38:14:00,40:33:00,36:15:00,4:18
,,26,14,12,53.85%,12,14,24.96,23.65,61.12,2049,2200,785,47,37:17:00,34:39:00,40:21:00,0
RUSH B,RUSH B,25,16,9,64.00%,14,11,27.12,23.2,61.68,2055,2298,689,46,33:27:00,33:56:00,32:35:00,1:20
Newbee.Young,Newbee.Young,25,16,9,64.00%,13,12,23,22.08,54.32,2048,2147,632,43,30:21:00,30:06:00,30:48:00,-00:41
MAD KINGS -E-SPORTS,MAD KINGS -E-SPORTS,25,11,14,44.00%,16,9,26.96,24.36,61.72,2218,2284,814,46,36:48:00,36:52:00,36:44:00,0:08
Team Waooo,Team Waooo,25,11,14,44.00%,12,13,23.56,30.64,50.16,2102,2209,811,52,36:20:00,35:30:00,36:59:00,#VALUE!
Effect,Effect,25,9,16,36.00%,14,11,23.44,27.8,53,2026,2190,775,48,37:12:00,34:10:00,38:55:00,0
Geek Fam,Geek Fam,23,4,19,17.39%,11,12,22,30.22,52.57,1887,2107,836,43,39:56:00,45:26:00,38:46:00,6:39
Aurora Esports club,Aurora Esports club,22,9,13,40.91%,13,9,22.14,24.05,51.05,1989,2106,627,34,30:44:00,35:01:00,27:45:00,7:15
Digital Chaos,Digital Chaos,21,7,14,33.33%,17,4,21.95,24.95,47.9,2053,2192,838,35,36:35:00,35:39:00,37:04:00,#VALUE!
Execration.安博电竞,Execration.安博电竞,20,6,14,30.00%,9,11,22.6,27.5,49.05,2005,2146,898,51,38:22:00,41:37:00,36:59:00,4:37
EHOME.immortal,EHOME.immortal,20,7,13,35.00%,12,8,25.85,28.2,59.8,2011,2224,838,49,37:36:00,37:09:00,37:51:00,-00:41
TE-life,TE-life,20,5,15,25.00%,8,12,23.05,27.85,51.95,1888,2093,721,49,35:38:00,42:25:00,33:23:00,9:02
Gorillaz-Pride,Gorillaz-Pride,20,9,11,45.00%,7,13,23.6,30.35,49.5,2082,2281,717,36,33:13:00,34:05:00,32:30:00,1:35
SC,SC,18,8,10,44.44%,10,8,26.22,24.72,59.06,1941,2140,693,41,34:42:00,30:18:00,38:14:00,0
Alliance,Alliance,16,3,13,18.75%,7,9,24.94,31,56.25,1980,2248,907,44,38:29:00,39:27:00,38:16:00,1:11
Bheart,Bheart,15,1,14,6.67%,10,5,19.07,31.87,41.93,1812,1992,639,37,32:15:00,28:39:00,32:31:00,#VALUE!
2Be.Dota2,2Be.Dota2,14,6,8,42.86%,1,13,21.36,25.21,45.93,1999,2265,750,43,33:46:00,38:35:00,30:10:00,8:25
Gambit Esports,Gambit Esports,14,4,10,28.57%,7,7,17.71,22.93,40.21,1926,2052,746,48,33:53:00,35:59:00,33:03:00,2:56
Midas Club,Midas Club,13,5,8,38.46%,7,6,28.15,34.31,64,2005,2196,757,30,38:10:00,45:39:00,33:30:00,12:08
CDEC,CDEC,12,2,10,16.67%,6,6,19.25,29.42,43.83,1950,2129,970,48,39:20:00,49:39:00,37:16:00,12:23
Team Leviathan,Team Leviathan,11,4,7,36.36%,3,8,35.91,39.82,80,2064,2280,736,38,38:23:00,33:02:00,41:27:00,#VALUE!
is GG,is GG,10,2,8,20.00%,9,1,25.9,31.9,59.5,1881,2206,791,40,39:02:00,42:07:00,38:16:00,3:50
Team Max,Team Max,10,0,10,0.00%,7,3,28.6,33.1,65.2,1958,2111,783,45,38:17:00,-,38:17:00,-
TEAMMORIARTY,TEAMMORIARTY,10,3,7,30.00%,2,8,24.9,32.9,53.5,2001,2248,758,42,36:26:00,37:47:00,35:51:00,1:56
LeftOneTV,LeftOneTV,10,4,6,40.00%,5,5,26.1,31.1,54.9,2083,2384,806,51,35:38:00,37:29:00,34:24:00,3:04
Luccini Gaming,Luccini Gaming,10,4,6,40.00%,2,8,25.9,30.2,56,2023,2175,844,31,38:19:00,44:17:00,34:20:00,9:57
Vici Gaming Potential,Vici Gaming Potential,10,4,6,40.00%,9,1,23.8,25.2,50.7,1978,2216,794,34,37:02:00,40:14:00,34:54:00,5:20
TSHOW RISING,TSHOW RISING,9,4,5,44.44%,6,3,29.11,26.89,66.67,2201,2388,935,37,40:01:00,39:09:00,40:44:00,#VALUE!
slozhniy memas,slozhniy memas,9,4,5,44.44%,7,2,22.67,23.44,55.22,1993,2152,767,32,37:46:00,42:32:00,33:57:00,8:34
Team Serenity,Team Serenity,9,3,6,33.33%,0,9,22.22,31.44,50.22,1959,2154,796,52,35:20:00,36:30:00,34:45:00,1:45
KDB,KDB,9,1,8,11.11%,3,6,20.33,30.11,44.78,1767,2006,560,42,28:29:00,29:16:00,28:23:00,0:52
TSHOW RISING,TSHOW RISING,9,4,5,44.44%,5,4,23.78,28.11,52.67,2120,2230,927,34,39:35:00,36:49:00,41:48:00,#VALUE!
TEAM PERÚ,TEAM PERÚ,9,4,5,44.44%,5,4,23.11,22.56,46.44,2211,2303,795,48,33:17:00,33:33:00,33:04:00,0:28
Teros E-sport,Teros E-sport,9,6,3,66.67%,5,4,23.89,29.22,50.56,2179,2334,930,43,37:46:00,41:46:00,29:44:00,12:02
Ultima Thule,Ultima Thule,9,6,3,66.67%,7,2,25.78,19.67,56.22,2274,2346,835,55,34:45:00,33:07:00,38:02:00,#VALUE!
Team Russia,Team Russia,9,6,3,66.67%,5,4,32,25.11,68.11,2382,2521,844,43,36:29:00,33:21:00,42:46:00,#VALUE!
The Prime NND,The Prime NND,8,5,3,62.50%,2,6,36.88,29.38,88.38,2327,2637,1281,54,52:17:00,49:01:00,57:43:00,#VALUE!
Fire Dragoon,Fire Dragoon,8,5,3,62.50%,4,4,24.75,19.38,55.5,2074,2324,708,50,31:49:00,27:28:00,39:04:00,#VALUE!
Team Singularity,Team Singularity,8,5,3,62.50%,6,2,31.75,27.88,81.25,2090,2354,898,54,43:25:00,42:19:00,45:14:00,#VALUE!
Thunder Predator,Thunder Predator,8,3,5,37.50%,3,5,21.12,24.38,49,1991,2092,675,38,32:41:00,40:08:00,28:13:00,11:55
ROZETKA.UAshki,ROZETKA.UAshki,8,2,6,25.00%,4,4,22.62,33.38,45.88,2112,2182,818,41,35:18:00,31:01:00,36:44:00,#VALUE!
STARS e-Sports,STARS e-Sports,8,2,6,25.00%,5,3,27.12,32.12,60.25,2180,2259,895,52,39:58:00,36:07:00,41:15:00,#VALUE!
Team Serbia,Team Serbia,8,1,7,12.50%,4,4,14.25,25,31.75,1756,1881,594,40,30:00:00,24:43:00,30:45:00,#VALUE!
Double Dimension,Double Dimension,8,1,7,12.50%,3,5,16.88,27,42.12,1809,1850,571,38,29:34:00,38:04:00,28:21:00,9:42
Team Hellas,Team Hellas,8,8,0,100.00%,6,2,32,19,70.75,2365,2496,756,40,33:39:00,33:39:00,-,-
N1,N1,8,3,5,37.50%,0,8,21.12,25.62,45.38,1981,2111,890,43,37:35:00,39:11:00,36:37:00,2:33
ALPHA Blue,ALPHA Blue,7,4,3,57.14%,3,4,28,23.29,62.14,2206,2487,959,70,39:37:00,37:15:00,42:46:00,#VALUE!
Team Finland,Team Finland,7,3,4,42.86%,0,7,23.43,32,50.71,1982,2147,725,35,36:08:00,38:28:00,34:23:00,4:04
Go PRO,Go PRO,7,1,6,14.29%,3,4,14.71,26.14,32.86,1694,1854,518,29,27:14:00,26:22:00,27:23:00,#VALUE!
Echo Gaming,Echo Gaming,7,3,4,42.86%,6,1,20.57,24.29,49.14,1934,2057,585,49,30:15:00,33:11:00,28:03:00,5:08
BOOM ID,BOOM ID,7,5,2,71.43%,5,2,23.57,22.71,61.57,2118,2242,793,42,37:15:00,36:30:00,39:07:00,#VALUE!
Happy Feet,Happy Feet,7,3,4,42.86%,5,2,33,33.57,78.43,2191,2307,756,43,36:09:00,35:33:00,36:37:00,#VALUE!
SeTH Gaming,SeTH Gaming,7,3,4,42.86%,5,2,29,29,58,2277,2487,1027,47,41:41:00,32:31:00,48:33:00,#VALUE!
Improved,Improved,7,3,4,42.86%,6,1,25,25.43,50.57,2042,2175,690,38,33:06:00,33:35:00,32:45:00,0:49
Swiss Quality Gaming,Swiss Quality Gaming,7,2,5,28.57%,4,3,24.29,30.14,59,1940,2077,788,45,36:49:00,52:15:00,30:38:00,21:36
MEGA-LADA E-sports,MEGA-LADA E-sports,6,3,3,50.00%,3,3,27.33,29.5,61.83,2048,2387,651,37,34:31:00,41:36:00,27:26:00,14:10
ULrica-,ULrica-,6,2,4,33.33%,2,4,18,27.17,39.67,1986,2116,699,36,31:54:00,36:12:00,29:45:00,6:27
keep dream bravely,keep dream bravely,6,0,6,0.00%,4,2,11.33,25.33,23.33,1604,1617,478,50,25:27:00,-,25:27:00,-
Neon Esports,Neon Esports,6,1,5,16.67%,3,3,20.17,33.17,43,1815,1994,788,40,38:08:00,1:01:53,33:23:00,28:30:00
Kingdra,Kingdra,5,1,4,20.00%,4,1,16.6,29.8,35.8,1842,1973,617,37,33:15:00,28:08:00,34:31:00,#VALUE!
Rex Regum Qeon,Rex Regum Qeon,4,0,4,0.00%,3,1,9.25,32.25,18,1566,1640,603,41,30:23:00,-,30:23:00,-
NeXT E-sports,NeXT E-sports,4,2,2,50.00%,0,4,30.25,22,74.5,2239,2578,824,56,37:49:00,39:26:00,36:12:00,3:13
?,?,4,0,4,0.00%,2,2,15.5,30,25.25,1631,1770,474,21,27:37:00,-,27:37:00,-
Sponsor.Neolution,Sponsor.Neolution,4,0,4,0.00%,1,3,19.5,32,43,1774,1985,684,30,35:55:00,-,35:55:00,-
Backpacks Gaming,Backpacks Gaming,3,0,3,0.00%,1,2,23.33,33.67,59.33,1726,2025,559,36,35:32:00,-,35:32:00,-
Hashtag.ESports,Hashtag.ESports,3,0,3,0.00%,3,0,12.33,27.67,23.67,1856,1938,775,44,34:40:00,-,34:40:00,-
Team Sweden,Team Sweden,3,0,3,0.00%,0,3,23.33,32.33,55.67,1764,2000,679,41,35:57:00,-,35:57:00,-
BLUE PIKACHU,BLUE PIKACHU,3,1,2,33.33%,1,2,14.33,22.67,35,1918,1995,968,51,40:17:00,51:08:00,34:52:00,16:16
Team EVOS,Team EVOS,3,0,3,0.00%,2,1,17.33,31.33,39.67,1960,2017,974,38,41:04:00,-,41:04:00,-
Vendetta,Vendetta,3,0,3,0.00%,1,2,23,51.33,54.33,1682,2229,423,18,28:17:00,-,28:17:00,-
White Rabbit ~ newb,White Rabbit ~ newb,3,1,2,33.33%,1,2,21.67,34,52.67,1738,1884,852,37,38:10:00,1:03:23,25:33:00,37:49:00
CoM18Anji,CoM18Anji,3,1,2,33.33%,1,2,21,26.67,49.67,1862,2175,698,39,34:11:00,46:14:00,28:10:00,18:04
Hooked eSports,Hooked eSports,3,0,3,0.00%,3,0,9,21.33,17,1525,1647,440,30,23:49,-,23:49,-
SND Esports,SND Esports,3,2,1,66.67%,2,1,38.33,57.33,81.67,2001,2343,951,25,51:27:00,1:02:03,30:16:00,31:47:00
Entity Gaming,Entity Gaming,3,1,2,33.33%,1,2,21.33,28.67,53.33,2043,2194,707,37,32:43:00,38:28:00,29:51:00,8:37
Fire Dragoon,Fire Dragoon,3,1,2,33.33%,1,2,20,26.67,44.33,1891,2076,871,70,38:07:00,48:50:00,32:46:00,16:03
Deutschlando,Deutschlando,3,1,2,33.33%,1,2,22.67,32.67,60,1973,2111,721,56,35:50:00,42:47:00,32:21:00,10:25
Romania,Romania,3,0,3,0.00%,0,3,32,43.33,70,2061,2298,1070,40,47:07:00,-,47:07:00,-
Unchained Esports,Unchained Esports,3,0,3,0.00%,2,1,21.67,42.67,48,1857,2009,734,41,38:27:00,-,38:27:00,-
Team Netherlands,Team Netherlands,3,1,2,33.33%,3,0,29.33,30.67,65.33,1992,2203,715,42,36:54:00,48:14:00,31:14:00,16:59
Learn2Gank,Learn2Gank,2,0,2,0.00%,1,1,10.5,33,21,1552,1663,578,42,31:02:00,-,31:02:00,-
MEGA-LADA E-sports,MEGA-LADA E-sports,2,0,2,0.00%,1,1,16.5,33.5,33.5,1720,1936,627,32,33:54:00,-,33:54:00,-
Team Loyalty,Team Loyalty,2,0,2,0.00%,1,1,20.5,26.5,53.5,1885,2098,810,52,38:00:00,-,38:00:00,-
The Thundercats,The Thundercats,2,0,2,0.00%,1,1,11,35,26,1566,1679,548,41,26:25:00,-,26:25:00,-
wolf,wolf,2,0,2,0.00%,1,1,15,37.5,34.5,1684,1992,533,22,28:44:00,-,28:44:00,-
Nicest Most Positive Team,Nicest Most Positive Team,2,0,2,0.00%,1,1,10,22,25.5,1334,1446,182,14,15:09,-,15:09,-
Seventh Heaven,Seventh Heaven,2,1,1,50.00%,2,0,31.5,36,74.5,2294,2492,1046,46,44:19:00,44:35:00,44:04:00,0:31
Echo International Team,Echo International Team,2,0,2,0.00%,0,2,14.5,33,39,1704,1947,584,50,29:24:00,-,29:24:00,-
5 Turtles,5 Turtles,2,0,2,0.00%,1,1,19,35.5,40.5,1576,1738,374,29,27:23:00,-,27:23:00,-
Big God,Big God,2,0,2,0.00%,1,1,14,35.5,29.5,1698,1889,624,50,31:18:00,-,31:18:00,-
PLAY 4 FUN,PLAY 4 FUN,2,0,2,0.00%,0,2,22.5,33.5,44.5,1810,1942,587,31,31:55:00,-,31:55:00,-
Admiral Dota,Admiral Dota,2,0,2,0.00%,0,2,24,29.5,45,2018,2276,806,52,36:25:00,-,36:25:00,-
FINSTACK REBORN,FINSTACK REBORN,1,1,0,100.00%,0,1,36,11,79,2200,2339,595,49,34:29:00,34:29:00,-,-
N1,N1,1,1,0,100.00%,0,1,31,25,90,2510,2666,755,57,38:32:00,38:32:00,-,-
LUCCINI,LUCCINI,1,0,1,0.00%,0,1,36,28,69,2085,2347,947,30,44:49:00,-,44:49:00,-
Volta7,Volta7,1,0,1,0.00%,1,0,7,36,16,1362,1459,220,13,20:02,-,20:02,-
Volta7D2,Volta7D2,1,0,1,0.00%,1,0,6,28,14,1359,1453,371,38,24:43:00,-,24:43:00,-
PLAY 4 FUN,PLAY 4 FUN,1,0,1,0.00%,1,0,11,37,24,1720,1895,639,46,34:29:00,-,34:29:00,-
